"des_plan","anio_apertura_expediente","abandona","convocatoria_acceso","des_acceso","sexo","municipio","anio_nacimiento_interval","1st_model","scholarship","cum_absent_ratio","cum_pass_ratio","nota_admision_def","expediente","cod_plan"
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2009-10","0","JUN","Selectividad","H","CÁCERES","(1990.0, 1995.0]",0,"N",0.125,0.25,7.16,1,1623
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2009-10","1","JUN","Selectividad","D","BADAJOZ","(1990.0, 1995.0]",0,"N",0.2222222222222222,0.3333333333333333,6.73,5,1623
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2009-10","1","JUN","Formación Profesional","H","MÉRIDA","(1985.0, 1990.0]",0,"N",0.4285714285714285,0.5714285714285714,8.1,7,1623
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2009-10","0","JUN","Selectividad","D","CORIA","(1990.0, 1995.0]",0,"N",0.1428571428571428,0.5714285714285714,7.17,8,1623
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2009-10","0","JUN","Selectividad","D","ALMOHARÍN","(1990.0, 1995.0]",0,"S",0.2222222222222222,0.1111111111111111,7.64,12,1623
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2009-10","0","JUN","Selectividad","H","BADAJOZ","(1990.0, 1995.0]",0,"N",0,0.7142857142857143,6.95,13,1623
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2009-10","0","JUN","Selectividad","H","CÁCERES","(1990.0, 1995.0]",0,"S",0.2857142857142857,0.5714285714285714,7.65,17,1623
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2009-10","1","JUN","Formación Profesional","H","CASARICHE","(1985.0, 1990.0]",0,"S",0.375,0.375,6.44,26,1623
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2009-10","0","JUN","Selectividad","H","MÉRIDA","(1990.0, 1995.0]",0,"N",0.1666666666666666,0.6666666666666666,7.22,28,1623
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2009-10","1","JUN","Selectividad","H","MÉRIDA","(1990.0, 1995.0]",0,"S",0.375,0.25,8.23,36,1623
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2009-10","0","JUN","Selectividad","H","CÁCERES","(1990.0, 1995.0]",0,"N",0,1,7.67,37,1623
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2009-10","0","JUN","Selectividad","D","CASAR DE CÁCERES","(1990.0, 1995.0]",0,"S",0.125,0.25,7.23,39,1623
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2009-10","0","JUN","Formación Profesional","D","VALLE DE LA SERENA","(1985.0, 1990.0]",0,"S",0.1428571428571428,0.5714285714285714,6.63,40,1623
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2009-10","0","JUN","Selectividad","D","CÁCERES","(1990.0, 1995.0]",0,"N",0.125,0.25,7.02,41,1623
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2009-10","0","JUN","Selectividad","H","MÉRIDA","(1990.0, 1995.0]",0,"N",0,0.8333333333333334,7.51,50,1623
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2009-10","0","JUN","Selectividad","H","GARLITOS","(1990.0, 1995.0]",0,"S",0,1,9.12,52,1623
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2009-10","0","JUN","Selectividad","H","SEVILLA","(1990.0, 1995.0]",0,"N",0.25,0.375,7.48,55,1623
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2009-10","0","JUN","Formación Profesional","H","CACABELOS","(1985.0, 1990.0]",0,"S",0.5555555555555556,0.2222222222222222,5.9,56,1623
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2009-10","0","JUN","Selectividad","H","CÁCERES","(1990.0, 1995.0]",0,"S",0.2857142857142857,0.4285714285714285,6.17,62,1623
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2009-10","0","JUN","Selectividad","H","QUINTANA DE LA SERENA","(1990.0, 1995.0]",0,"S",0.3333333333333333,0.6666666666666666,6.17,63,1623
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2009-10","0","JUN","Selectividad","H","CÁCERES","(1990.0, 1995.0]",0,"S",0.2857142857142857,0.5714285714285714,6.33,66,1623
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2009-10","1","JUN","Selectividad","H","CÁCERES","(1985.0, 1990.0]",1,"S",0.5,0.25,6.11,68,1623
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2009-10","1","JUN","Selectividad","H","CÁCERES","(1990.0, 1995.0]",0,"N",0.2857142857142857,0.4285714285714285,6.41,71,1623
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2009-10","1","JUN","Selectividad","H","PLASENCIA","(1990.0, 1995.0]",0,"N",0.25,0.25,6.23,74,1623
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2009-10","0","JUN","Selectividad","D","BADAJOZ","(1990.0, 1995.0]",0,"S",0,0.5,6.21,76,1623
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2009-10","0","JUN","Selectividad","H","CÁCERES","(1985.0, 1990.0]",1,"N",0.3333333333333333,0.2222222222222222,5.1,83,1623
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2010-11","0","JUN","Selectividad","H","RONDA","(1990.0, 1995.0]",0,"N",0.2857142857142857,0.5714285714285714,7.3,88,1623
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2010-11","0","JUN","Selectividad","D","CÁCERES","(1990.0, 1995.0]",0,"N",0.4285714285714285,0.5714285714285714,6.842,89,1623
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2010-11","0","JUN","Selectividad","H","PUEBLA DE LA CALZADA","(1990.0, 1995.0]",0,"S",0,0.5,6.586,93,1623
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2010-11","0","JUN","Selectividad","H","CÁCERES","(1990.0, 1995.0]",0,"N",0,1,7.918,95,1623
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2010-11","0","JUN","Selectividad","H","CÁCERES","(1990.0, 1995.0]",0,"S",0.2857142857142857,0.4285714285714285,7.136,99,1623
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2010-11","0","JUN","Selectividad","H","AZUAGA","(1990.0, 1995.0]",0,"S",0.3333333333333333,0.6666666666666666,7.044,105,1623
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2010-11","0","JUN","Selectividad","H","CÁCERES","(1990.0, 1995.0]",0,"N",0,0.7142857142857143,8.322,108,1623
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2010-11","0","JUN","Selectividad","H","LOS SANTOS DE MAIMONA","(1990.0, 1995.0]",0,"N",0.3333333333333333,0.3333333333333333,6.172,109,1623
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2010-11","0","JUN","Selectividad","H","FUENTE DEL MAESTRE","(1990.0, 1995.0]",0,"S",0.125,0.5,7.676,110,1623
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2010-11","0","JUN","Selectividad","H","FUENTE DEL MAESTRE","(1990.0, 1995.0]",0,"S",0,0.8333333333333334,7.446,111,1623
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2010-11","0","JUN","Selectividad","H","SOLANA DE LOS BARROS","(1990.0, 1995.0]",0,"S",0.2222222222222222,0.3333333333333333,6.69,116,1623
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2010-11","0","JUN","Selectividad","H","CÁCERES","(1990.0, 1995.0]",0,"S",0.2857142857142857,0.4285714285714285,7.092,117,1623
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2010-11","0","JUN","Selectividad","D","CÁCERES","(1990.0, 1995.0]",0,"N",0.125,0.25,6.97,130,1623
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2010-11","0","JUN","Selectividad","D","PLASENCIA","(1985.0, 1990.0]",1,"S",0.3333333333333333,0.6666666666666666,6.114,133,1623
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2010-11","0","JUN","Selectividad","H","PALMA DEL RÍO","(1990.0, 1995.0]",0,"N",0.25,0.5,5.828,137,1623
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2010-11","0","JUN","Selectividad","H","CÁCERES","(1990.0, 1995.0]",0,"S",0,1,7.858,138,1623
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2010-11","1","JUN","Selectividad","D","BERZOCANA","(1990.0, 1995.0]",0,"S",0.2222222222222222,0.1111111111111111,6.124,140,1623
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2010-11","1","JUN","Selectividad","D","HERRERA DEL DUQUE","(1990.0, 1995.0]",0,"N",0.25,0.375,7.118,142,1623
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2010-11","1","SEP","Selectividad","H","CÁCERES","(1985.0, 1990.0]",1,"N",0.6,0.1,5.35,143,1623
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2010-11","0","SEP","Selectividad","H","CÁCERES","(1990.0, 1995.0]",1,"N",0.5,0.3333333333333333,5.35,147,1623
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2010-11","0","SEP","Selectividad","H","PLASENCIA","(1990.0, 1995.0]",1,"N",0.125,0.375,5.47,150,1623
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2010-11","1","SEP","Selectividad","H","CÁCERES","(1985.0, 1990.0]",1,"N",0.1111111111111111,0.2222222222222222,6.392,152,1623
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2010-11","0","SEP","Selectividad","D","CÁCERES","(1990.0, 1995.0]",1,"N",0.1111111111111111,0.3333333333333333,5.832,155,1623
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2009-10","0","JUN","Selectividad","H","BADAJOZ","(1985.0, 1990.0]",0,"N",1,0,6.69,165,1623
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2009-10","1","JUN","Selectividad","H","ESTELLA-LIZARRA","(1985.0, 1990.0]",1,"N",1,0,5.55,166,1623
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2010-11","0","SEP","Selectividad","H","PLASENCIA","(1990.0, 1995.0]",1,"N",0.9,0,5.736,170,1623
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2011-12","0","JUN","Selectividad","H","CÁCERES","(1990.0, 1995.0]",1,"S",0.1111111111111111,0.3333333333333333,6.765,178,1623
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2011-12","0","JUN","Selectividad","D","CÁCERES","(1990.0, 1995.0]",0,"N",0.125,0.375,6.826,181,1623
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2011-12","0","JUN","Selectividad","H","BADAJOZ","(1990.0, 1995.0]",1,"N",0.25,0.25,7.482,183,1623
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2011-12","1","JUN","Selectividad","D","ARROYO DE SAN SERVÁN","(1990.0, 1995.0]",1,"S",0,0.375,8.146,189,1623
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2011-12","1","JUN","Selectividad","H","VILLANUEVA DE LA SERENA","(1990.0, 1995.0]",1,"S",0.2857142857142857,0.5714285714285714,7.285,191,1623
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2011-12","0","JUN","Selectividad","H","CASAR DE CÁCERES","(1990.0, 1995.0]",0,"N",0.2857142857142857,0.5714285714285714,7.71,192,1623
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2011-12","0","JUN","Selectividad","H","FREGENAL DE LA SIERRA","(1990.0, 1995.0]",1,"S",0.3333333333333333,0.6666666666666666,7.304,194,1623
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2011-12","0","JUN","Selectividad","H","CÁDIZ","(1990.0, 1995.0]",1,"N",0.375,0.5,6.761,199,1623
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2011-12","0","JUN","Selectividad","H","CÁCERES","(1990.0, 1995.0]",1,"N",0.1428571428571428,0.5714285714285714,7.31,200,1623
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2011-12","1","JUN","Selectividad","H","ANDOAIN","(1990.0, 1995.0]",1,"S",0.25,0.375,8.186,201,1623
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2011-12","1","JUN","Selectividad","H","BADAJOZ","(1990.0, 1995.0]",1,"S",0.4,0,7.422,202,1623
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2011-12","0","JUN","Selectividad","H","CÁCERES","(1990.0, 1995.0]",1,"S",0.25,0.5,7.11,207,1623
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2011-12","0","JUN","Selectividad","D","CORIA","(1990.0, 1995.0]",1,"N",0.2222222222222222,0.2222222222222222,6.206,208,1623
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2011-12","1","JUN","Selectividad","D","MORALEJA","(1990.0, 1995.0]",0,"S",0.3333333333333333,0.2222222222222222,7.4,213,1623
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2011-12","0","JUN","Selectividad","H","LOGROSÁN","(1990.0, 1995.0]",1,"S",0.1428571428571428,0.4285714285714285,6.644,215,1623
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2011-12","0","JUN","Selectividad","H","CÁCERES","(1990.0, 1995.0]",1,"S",0.375,0.375,5.578,225,1623
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2011-12","0","JUN","Selectividad","H","LEÓN","(1985.0, 1990.0]",1,"N",0.1428571428571428,0.7142857142857143,5.93,226,1623
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2011-12","1","JUN","Selectividad","H","PLASENCIA","(1990.0, 1995.0]",1,"S",0.25,0.25,6.422,227,1623
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2011-12","1","JUN","Selectividad","H","CILLEROS","(1990.0, 1995.0]",1,"S",0.5555555555555556,0.1111111111111111,5.54,232,1623
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2011-12","1","JUN","Selectividad","D","SIERRA DE FUENTES","(1990.0, 1995.0]",1,"S",0,0.4285714285714285,5.55,233,1623
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2011-12","1","JUN","Formación Profesional","H","CÁCERES","(1985.0, 1990.0]",1,"S",0.375,0.5,7.14,235,1623
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2011-12","1","JUN","Selectividad","H","TORREMOCHA","(1990.0, 1995.0]",1,"S",0.2222222222222222,0.1111111111111111,5.424,240,1623
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2011-12","1","JUN","Selectividad","H","CORIA","(1990.0, 1995.0]",1,"S",0.7,0,5.65,243,1623
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2011-12","1","JUN","Selectividad","H","CÁDIZ","(1990.0, 1995.0]",1,"N",0.3333333333333333,0.2222222222222222,5.279,244,1623
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2011-12","1","SEP","Selectividad","H","CÁCERES","(1990.0, 1995.0]",1,"N",1,0,6.47,253,1623
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2010-11","0","JUN","Selectividad","H","CÁCERES","(1985.0, 1990.0]",1,"N",0.4166666666666667,0.1666666666666666,6.13,261,1623
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2010-11","0","JUN","Selectividad","H","CÁCERES","(1980.0, 1985.0]",0,"N",0.75,0,7.38,269,1623
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2010-11","1","JUN","Selectividad","H","CÁCERES","(1985.0, 1990.0]",1,"N",0.7272727272727273,0.0909090909090909,5.61,271,1623
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2010-11","1","JUN","Selectividad","H","CÁCERES","(1985.0, 1990.0]",1,"N",0.3333333333333333,0.2222222222222222,5.87,272,1623
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2010-11","1","JUN","Selectividad","H","SAN VICENTE DE ALCÁNTARA","(1985.0, 1990.0]",1,"N",0.5714285714285714,0.1428571428571428,5.95,278,1623
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2011-12","1","SEP","Selectividad","H","BADAJOZ","(1990.0, 1995.0]",1,"N",0.3,0,6.014,283,1623
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2011-12","1","SEP","Selectividad","H","BADAJOZ","(1990.0, 1995.0]",1,"N",0.5,0,8.608,284,1623
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2012-13","0","JUN","Selectividad","H","CORIA","(1990.0, 1995.0]",0,"S",0.25,0.375,7.218,286,1623
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2012-13","1","JUN","Selectividad","D","CÁCERES","(1990.0, 1995.0]",0,"N",0.375,0.25,8.024,292,1623
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2012-13","1","JUN","Selectividad","D","SEVILLA","(1990.0, 1995.0]",1,"S",0.3333333333333333,0.6666666666666666,7.626,294,1623
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2012-13","0","JUN","Selectividad","H","CÁCERES","(1990.0, 1995.0]",1,"N",0.1428571428571428,0.4285714285714285,6.168,295,1623
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2012-13","1","JUN","Selectividad","H","CÁCERES","(1990.0, 1995.0]",0,"N",0.5,0,7.65,296,1623
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2012-13","1","JUN","Selectividad","H","LA HABA","(1990.0, 1995.0]",0,"S",0.3333333333333333,0.6666666666666666,11.772,297,1623
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2012-13","1","JUN","Selectividad","H","MÉRIDA","(1990.0, 1995.0]",0,"N",0.3,0.2,7.019,298,1623
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2012-13","1","JUN","Selectividad","H","CÁDIZ","(1990.0, 1995.0]",0,"N",0.5555555555555556,0.1111111111111111,6.963,305,1623
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2012-13","1","JUN","Selectividad","D","MEDELLÍN","(1990.0, 1995.0]",0,"S",0.3,0.1,6.182,308,1623
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2012-13","1","JUN","Selectividad","H","CASTUERA","(1990.0, 1995.0]",0,"N",0.6,0,6.722,309,1623
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2012-13","1","JUN","Selectividad","H","PLASENCIA","(1990.0, 1995.0]",1,"N",0.2222222222222222,0.1111111111111111,5.4,310,1623
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2012-13","1","JUN","Formación Profesional","H","SANTIAGO DE ALCÁNTARA","(1990.0, 1995.0]",0,"S",0.6666666666666666,0.1111111111111111,8.36,312,1623
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2012-13","1","SEP","Selectividad","H","MEDELLÍN","(1990.0, 1995.0]",1,"N",0.5454545454545454,0.1818181818181818,5.422,313,1623
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2012-13","0","SEP","Selectividad","H","CORIA","(1990.0, 1995.0]",1,"N",0.25,0.5,5.624,316,1623
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2012-13","0","JUN","Selectividad","D","SEGOVIA","(1990.0, 1995.0]",0,"S",0.3333333333333333,0.2222222222222222,5.846,322,1623
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2012-13","1","JUN","Selectividad","H","CÁCERES","(1990.0, 1995.0]",0,"N",0.6,0,7.372,325,1623
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2012-13","0","JUN","Selectividad","H","OLIVENZA","(1990.0, 1995.0]",1,"S",0.25,0.375,5.592,328,1623
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2012-13","0","JUN","Selectividad","H","MÉRIDA","(1990.0, 1995.0]",0,"S",0.2857142857142857,0.5714285714285714,10.508,330,1623
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2012-13","0","JUN","Selectividad","H","BADAJOZ","(1990.0, 1995.0]",0,"S",0.25,0.5,9.396,339,1623
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2012-13","0","JUN","Selectividad","H","CÁCERES","(1990.0, 1995.0]",0,"N",0,0.4285714285714285,7.594,342,1623
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2012-13","1","JUN","Selectividad","H","CAMPANARIO","(1990.0, 1995.0]",0,"S",0.2222222222222222,0.1111111111111111,8.422,346,1623
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2012-13","1","JUN","Selectividad","H","CÁCERES","(1990.0, 1995.0]",0,"N",0.2222222222222222,0.4444444444444444,8.192,350,1623
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2012-13","1","SEP","Selectividad","D","BADAJOZ","(1990.0, 1995.0]",1,"N",0.5833333333333334,0,5.29,353,1623
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2012-13","1","JUN","Selectividad","H","BADAJOZ","(1990.0, 1995.0]",1,"N",0.4,0,5.164,354,1623
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2012-13","1","SEP","Selectividad","D","BADAJOZ","(1990.0, 1995.0]",1,"N",0.3,0.1,5.882,356,1623
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2012-13","0","SEP","Selectividad","H","LOS SANTOS DE MAIMONA","(1990.0, 1995.0]",1,"S",0.2222222222222222,0.1111111111111111,6.174,361,1623
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2012-13","0","JUN","Selectividad","H","VILLANUEVA DE LA SERENA","(1990.0, 1995.0]",0,"N",0.75,0,7.49,362,1623
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2012-13","1","SEP","Selectividad","H","MÉRIDA","(1985.0, 1990.0]",1,"N",0.6666666666666666,0.1111111111111111,5.636,365,1623
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2012-13","1","SEP","Selectividad","H","CÁCERES","(1990.0, 1995.0]",1,"N",0.6,0.1,6.808,366,1623
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2012-13","1","SEP","Selectividad","H","VILLANUEVA DE LA SERENA","(1990.0, 1995.0]",1,"N",0.3333333333333333,0.2222222222222222,6.328,368,1623
