"des_plan","anio_apertura_expediente","abandona","convocatoria_acceso","des_acceso","sexo","municipio","anio_nacimiento_interval","1st_model","scholarship","cum_absent_ratio","cum_pass_ratio","nota_admision_def","GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","GRADO EN INGENIERÍA CIVIL - HIDROLOGÍA","GRADO EN INGENIERÍA CIVIL - TRANSPORTES Y SERVICIOS URBANOS","GRADO EN EDIFICACIÓN","GRADO EN INGENIERÍA INFORMÁTICA EN INGENIERÍA DE COMPUTADORES","2009-10","2010-11","2011-12","2012-13","2013-14","2014-15","2015-16","2016-17","2008-09","JUN","SEP","EXT","ENE","Selectividad","Formación Profesional","H","D","(1990.0, 1995.0]","(1985.0, 1990.0]","(1980.0, 1985.0]","(1995.0, 2000.0]","(1975.0, 1980.0]","N","S"
"GRADO EN INGENIERÍA CIVIL - TRANSPORTES Y SERVICIOS URBANOS","2009-10","0","SEP","Selectividad","H","DONOSTIA-SAN SEBASTIÁN","(1990.0, 1995.0]",1,"S",0.25,0.375,5.14,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1
"GRADO EN INGENIERÍA CIVIL - TRANSPORTES Y SERVICIOS URBANOS","2010-11","0","JUN","Selectividad","H","CÁCERES","(1990.0, 1995.0]",0,"S",0.1666666666666666,0.6666666666666666,6.684,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1
"GRADO EN INGENIERÍA CIVIL - TRANSPORTES Y SERVICIOS URBANOS","2009-10","1","JUN","Selectividad","D","TRUJILLO","(1985.0, 1990.0]",1,"N",0.8,0,6.99,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0
"GRADO EN INGENIERÍA CIVIL - TRANSPORTES Y SERVICIOS URBANOS","2011-12","1","JUN","Selectividad","H","CÁCERES","(1990.0, 1995.0]",0,"S",0,1,13.464,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1
"GRADO EN INGENIERÍA CIVIL - TRANSPORTES Y SERVICIOS URBANOS","2011-12","1","JUN","Selectividad","D","PLASENCIA","(1990.0, 1995.0]",1,"S",0.2222222222222222,0.3333333333333333,7.246,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1
"GRADO EN INGENIERÍA CIVIL - TRANSPORTES Y SERVICIOS URBANOS","2011-12","1","SEP","Selectividad","D","CAMPANARIO","(1990.0, 1995.0]",1,"N",0.4,0.1,6.228,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0
"GRADO EN INGENIERÍA CIVIL - TRANSPORTES Y SERVICIOS URBANOS","2011-12","1","SEP","Selectividad","H","BADAJOZ","(1985.0, 1990.0]",1,"N",0.1111111111111111,0.1111111111111111,5.4,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0
"GRADO EN INGENIERÍA CIVIL - TRANSPORTES Y SERVICIOS URBANOS","2010-11","0","SEP","Selectividad","H","BADAJOZ","(1985.0, 1990.0]",1,"N",0.5,0.1,5.71,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0
"GRADO EN INGENIERÍA CIVIL - TRANSPORTES Y SERVICIOS URBANOS","2012-13","0","JUN","Selectividad","H","LLERENA","(1990.0, 1995.0]",0,"N",0.7777777777777778,0.1111111111111111,6.542,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0
"GRADO EN INGENIERÍA CIVIL - TRANSPORTES Y SERVICIOS URBANOS","2012-13","1","JUN","Formación Profesional","H","AZUAGA","(1985.0, 1990.0]",1,"S",0.5555555555555556,0.1111111111111111,5.63,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1
"GRADO EN INGENIERÍA CIVIL - TRANSPORTES Y SERVICIOS URBANOS","2012-13","1","JUN","Selectividad","H","PERALEDA DE LA MATA","(1990.0, 1995.0]",1,"N",0.25,0.25,5.706,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0
"GRADO EN INGENIERÍA CIVIL - TRANSPORTES Y SERVICIOS URBANOS","2013-14","0","JUN","Formación Profesional","D","MÉRIDA","(1990.0, 1995.0]",0,"S",0.2727272727272727,0.1818181818181818,7.88,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1
"GRADO EN INGENIERÍA CIVIL - TRANSPORTES Y SERVICIOS URBANOS","2013-14","0","JUN","Selectividad","H","ARROYO DE LA LUZ","(1990.0, 1995.0]",0,"N",0.2857142857142857,0.5714285714285714,8.846,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0
"GRADO EN INGENIERÍA CIVIL - TRANSPORTES Y SERVICIOS URBANOS","2015-16","0","JUN","Selectividad","D","MÉRIDA","(1995.0, 2000.0]",0,"S",0.3333333333333333,0.3333333333333333,8.75,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1
"GRADO EN EDIFICACIÓN","2010-11","0","JUN","Selectividad","H","CÁCERES","(1990.0, 1995.0]",0,"N",0,0.6666666666666666,6.95,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0
"GRADO EN EDIFICACIÓN","2011-12","1","JUN","Selectividad","D","CÁCERES","(1990.0, 1995.0]",1,"N",0.1111111111111111,0.3333333333333333,6.1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0
"GRADO EN EDIFICACIÓN","2011-12","1","SEP","Selectividad","H","BADAJOZ","(1990.0, 1995.0]",1,"S",0.4,0.1,5.9,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1
"GRADO EN EDIFICACIÓN","2012-13","0","JUN","Selectividad","D","ALBURQUERQUE","(1990.0, 1995.0]",0,"N",0.1428571428571428,0.7142857142857143,9.596,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0
"GRADO EN EDIFICACIÓN","2012-13","1","JUN","Formación Profesional","H","HUELVA","(1985.0, 1990.0]",1,"N",0.6,0.1,7.3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0
"GRADO EN EDIFICACIÓN","2012-13","1","JUN","Formación Profesional","H","PLASENCIA","(1985.0, 1990.0]",1,"S",0.5,0.0833333333333333,5.75,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1
"GRADO EN EDIFICACIÓN","2012-13","1","JUN","Formación Profesional","H","CORIA","(1985.0, 1990.0]",1,"S",0.3,0.3,7.25,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1
"GRADO EN EDIFICACIÓN","2012-13","0","JUN","Selectividad","D","MADRID","(1990.0, 1995.0]",0,"S",0.25,0.375,6.914,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1
"GRADO EN EDIFICACIÓN","2012-13","1","JUN","Selectividad","D","PLASENCIA","(1990.0, 1995.0]",1,"S",0.4,0.1,5.682,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1
"GRADO EN EDIFICACIÓN","2012-13","1","JUN","Selectividad","D","VALLE DE LA SERENA","(1990.0, 1995.0]",1,"S",0.2222222222222222,0.2222222222222222,5.564,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1
"GRADO EN EDIFICACIÓN","2012-13","0","JUN","Selectividad","H","BADAJOZ","(1990.0, 1995.0]",0,"S",0.2857142857142857,0.5714285714285714,9.524,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1
"GRADO EN EDIFICACIÓN","2012-13","0","JUN","Selectividad","H","GUADALUPE","(1990.0, 1995.0]",0,"S",0.2222222222222222,0.2222222222222222,7.29,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1
"GRADO EN EDIFICACIÓN","2012-13","0","JUN","Selectividad","D","MADRID","(1990.0, 1995.0]",1,"N",0.4,0.1,5.671,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0
"GRADO EN EDIFICACIÓN","2012-13","1","SEP","Selectividad","H","CÁCERES","(1990.0, 1995.0]",1,"S",0.3333333333333333,0.2222222222222222,6.778,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1
"GRADO EN EDIFICACIÓN","2012-13","0","SEP","Selectividad","H","QUINTANA DE LA SERENA","(1990.0, 1995.0]",1,"S",0.2222222222222222,0.4444444444444444,8.348,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1
"GRADO EN EDIFICACIÓN","2012-13","1","SEP","Selectividad","H","MÉRIDA","(1990.0, 1995.0]",1,"N",1,0,5.36,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0
"GRADO EN EDIFICACIÓN","2013-14","0","JUN","Selectividad","D","ACEUCHAL","(1990.0, 1995.0]",0,"N",0,0.4285714285714285,5.34,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0
"GRADO EN EDIFICACIÓN","2013-14","0","JUN","Formación Profesional","H","BADAJOZ","(1985.0, 1990.0]",1,"S",0.2,0.4,6.5,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1
"GRADO EN EDIFICACIÓN","2013-14","0","JUN","Selectividad","H","DON BENITO","(1990.0, 1995.0]",0,"S",0,0.4285714285714285,7.782,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1
"GRADO EN EDIFICACIÓN","2013-14","1","JUN","Selectividad","H","BADAJOZ","(1990.0, 1995.0]",1,"N",0.8,0,5.382,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0
"GRADO EN EDIFICACIÓN","2013-14","1","SEP","Selectividad","H","MIRANDILLA","(1990.0, 1995.0]",1,"S",1,0,6.86,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1
"GRADO EN EDIFICACIÓN","2014-15","1","JUN","Formación Profesional","H","CORIA","(1990.0, 1995.0]",1,"S",0.6666666666666666,0.1111111111111111,6.82,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1
"GRADO EN EDIFICACIÓN","2014-15","1","JUN","Formación Profesional","H","SANTA AMALIA","(1990.0, 1995.0]",1,"N",0.3333333333333333,0.2222222222222222,5.85,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0
"GRADO EN EDIFICACIÓN","2014-15","0","JUN","Selectividad","H","VILLAFRANCA DE LOS BARROS","(1995.0, 2000.0]",0,"N",0,0.7142857142857143,8.458,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0
"GRADO EN EDIFICACIÓN","2014-15","1","JUN","Formación Profesional","H","BADAJOZ","(1990.0, 1995.0]",1,"N",0.3,0.2,6.23,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0
"GRADO EN EDIFICACIÓN","2014-15","0","JUN","Selectividad","D","CASAS DE DON PEDRO","(1995.0, 2000.0]",0,"S",0,0.1111111111111111,7.072,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1
"GRADO EN EDIFICACIÓN","2014-15","0","JUN","Selectividad","H","MORALEJA","(1995.0, 2000.0]",0,"N",0.3333333333333333,0.6666666666666666,6.008,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0
"GRADO EN EDIFICACIÓN","2014-15","1","JUN","Formación Profesional","H","SANTA AMALIA","(1985.0, 1990.0]",1,"S",0.5,0.375,6.46,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1
"GRADO EN EDIFICACIÓN","2014-15","1","JUN","Formación Profesional","H","PLASENCIA","(1990.0, 1995.0]",1,"N",0.625,0,5.38,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0
"GRADO EN EDIFICACIÓN","2014-15","0","EXT","Selectividad","H","VILLAR DEL PEDROSO","(1995.0, 2000.0]",0,"N",0.3,0,7.806,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0
"GRADO EN EDIFICACIÓN","2015-16","0","JUN","Selectividad","D","ACEUCHAL","(1995.0, 2000.0]",0,"S",0.1666666666666666,0.8333333333333334,7.978,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1
"GRADO EN EDIFICACIÓN","2016-17","0","EXT","Selectividad","H","GARROVILLAS DE ALCONÉTAR","(1995.0, 2000.0]",0,"N",0.2,0.1,5.368,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0
"GRADO EN INGENIERÍA INFORMÁTICA EN INGENIERÍA DE COMPUTADORES","2010-11","1","JUN","Selectividad","H","PUEBLA DE LA CALZADA","(1990.0, 1995.0]",1,"S",0.6,0,6.974,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1
"GRADO EN INGENIERÍA INFORMÁTICA EN INGENIERÍA DE COMPUTADORES","2010-11","1","SEP","Selectividad","H","MADRID","(1985.0, 1990.0]",1,"N",0.8,0,5.02,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0
"GRADO EN INGENIERÍA INFORMÁTICA EN INGENIERÍA DE COMPUTADORES","2011-12","1","JUN","Selectividad","H","TORRE DE MIGUEL SESMERO","(1990.0, 1995.0]",1,"N",0.9,0,5.968,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0
"GRADO EN INGENIERÍA INFORMÁTICA EN INGENIERÍA DE COMPUTADORES","2011-12","1","SEP","Selectividad","H","CÁCERES","(1990.0, 1995.0]",1,"S",0.2,0.1,5.806,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1
"GRADO EN INGENIERÍA INFORMÁTICA EN INGENIERÍA DE COMPUTADORES","2011-12","1","SEP","Selectividad","H","MONTÁNCHEZ","(1990.0, 1995.0]",1,"S",0.5,0.1,6.536,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1
"GRADO EN INGENIERÍA INFORMÁTICA EN INGENIERÍA DE COMPUTADORES","2011-12","1","SEP","Selectividad","H","ZAFRA","(1990.0, 1995.0]",1,"S",0.2,0,6.49,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1
"GRADO EN INGENIERÍA INFORMÁTICA EN INGENIERÍA DE COMPUTADORES","2011-12","1","SEP","Selectividad","H","PLASENCIA","(1990.0, 1995.0]",1,"N",0.9,0,5.04,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0
"GRADO EN INGENIERÍA INFORMÁTICA EN INGENIERÍA DE COMPUTADORES","2011-12","1","SEP","Selectividad","H","MONTIJO","(1990.0, 1995.0]",1,"S",0.6,0,6.506,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1
"GRADO EN INGENIERÍA INFORMÁTICA EN INGENIERÍA DE COMPUTADORES","2011-12","1","SEP","Selectividad","H","BADAJOZ","(1990.0, 1995.0]",1,"N",0.8,0,5.154,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0
"GRADO EN INGENIERÍA INFORMÁTICA EN INGENIERÍA DE COMPUTADORES","2012-13","0","JUN","Selectividad","H","PALENCIA","(1980.0, 1985.0]",0,"N",0.2222222222222222,0.2222222222222222,6.186,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0
"GRADO EN INGENIERÍA INFORMÁTICA EN INGENIERÍA DE COMPUTADORES","2012-13","1","SEP","Selectividad","H","PLASENCIA","(1985.0, 1990.0]",1,"N",0.75,0.25,5.61,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0
"GRADO EN INGENIERÍA INFORMÁTICA EN INGENIERÍA DE COMPUTADORES","2012-13","0","JUN","Selectividad","H","MÉRIDA","(1990.0, 1995.0]",1,"N",0,1,8.64,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0
"GRADO EN INGENIERÍA INFORMÁTICA EN INGENIERÍA DE COMPUTADORES","2012-13","0","JUN","Formación Profesional","H","BADAJOZ","(1990.0, 1995.0]",1,"S",0.3,0,7,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1
"GRADO EN INGENIERÍA INFORMÁTICA EN INGENIERÍA DE COMPUTADORES","2012-13","0","SEP","Selectividad","H","ALISEDA","(1990.0, 1995.0]",1,"N",0,0.8,5.846,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0
"GRADO EN INGENIERÍA INFORMÁTICA EN INGENIERÍA DE COMPUTADORES","2012-13","1","JUN","Formación Profesional","H","PLASENCIA","(1985.0, 1990.0]",1,"S",0.5714285714285714,0.1428571428571428,8.15,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1
